scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,542.4857177734375,169.07656860351562,0.9999997615814209,516.8331298828125,159.26278686523438,0.999997615814209,494.52886962890625,177.84291076660156,0.9999997615814209,450.86773681640625,152.21592712402344,0.9999997615814209,471.7289123535156,187.11956787109375,0.9999996423721313,437.1019287109375,173.64991760253906,0.9999997615814209
1,542.984375,169.5242462158203,0.9999996423721313,517.9554443359375,158.7646942138672,0.9999988079071045,493.78582763671875,176.83566284179688,0.9999997615814209,451.09661865234375,151.84295654296875,0.9999997615814209,470.1396789550781,187.71981811523438,0.9999998807907104,436.9325866699219,173.94384765625,0.9999998807907104
2,543.16259765625,169.54290771484375,0.9999995231628418,518.2020263671875,158.72128295898438,0.9999985694885254,493.6415100097656,177.05638122558594,0.9999997615814209,450.7354431152344,152.15101623535156,0.9999997615814209,470.1803283691406,187.52076721191406,0.9999998807907104,437.45037841796875,173.7377166748047,0.9999997615814209
3,541.65234375,169.21897888183594,0.9999995231628418,517.7938232421875,158.76611328125,0.9999986886978149,493.3848571777344,176.805419921875,0.9999997615814209,450.2358703613281,151.98696899414062,0.9999997615814209,470.23370361328125,187.7579803466797,0.9999998807907104,437.123046875,174.2176971435547,0.9999997615814209
4,541.8310546875,168.97744750976562,0.9999996423721313,517.7498168945312,158.7139434814453,0.9999988079071045,493.61370849609375,176.8036346435547,0.9999997615814209,450.30328369140625,151.92478942871094,0.9999998807907104,470.0305480957031,187.719970703125,0.9999998807907104,436.6785888671875,174.24842834472656,0.9999998807907104
5,541.8518676757812,168.78794860839844,0.9999996423721313,517.8543701171875,158.6577911376953,0.9999986886978149,493.438232421875,177.13095092773438,0.9999998807907104,450.112548828125,152.04739379882812,0.9999997615814209,469.9220275878906,187.63687133789062,0.9999998807907104,436.9054870605469,174.2260284423828,0.9999997615814209
6,539.8107299804688,168.8531036376953,0.9999997615814209,517.3259887695312,159.30953979492188,0.9999983310699463,493.9582214355469,177.72970581054688,0.9999998807907104,448.13104248046875,149.99124145507812,0.9999991655349731,469.836181640625,187.65225219726562,0.9999998807907104,436.6722717285156,174.42575073242188,0.9999997615814209
7,539.8568725585938,168.36228942871094,0.9999997615814209,516.854736328125,158.8769073486328,0.9999984502792358,494.2109069824219,177.6719207763672,0.9999998807907104,449.0531005859375,152.35955810546875,0.9999995231628418,470.1369323730469,187.82791137695312,0.9999998807907104,436.57794189453125,174.40000915527344,0.9999997615814209
