;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Time;Experiment;Experiment
;snout;snout;right-forepaw;right-forepaw;left-forepaw;left-forepaw;right-hindpaw;right-hindpaw;left-hindpaw;left-hindpaw;tail-base;tail-base;;Status;Trial
;x;y;x;y;x;y;x;y;x;y;x;y;;;
Frame;;;;;;;;;;;;;;;
145;579.7254257500172;191.73656558990479;546.9038573503494;170.55105006694794;527.4532589912415;187.46363908052444;500.5914785861969;152.9568784236908;474.8803074359894;190.60219550132751;459.81415598094463;165.2965931892395;0.107;True;InterTrial
222;626.6370874643326;256.50327730178833;609.877964258194;243.94466545060277;580.8887076973915;257.4199767112732;567.3160452842712;219.40310686826706;533.8706932067871;243.81194357573986;523.1800442934036;212.9184787273407;0.285;True;InterTrial
225;631.8563675880432;262.9719157218933;615.6275961399078;244.15184827148914;583.0280780792236;257.9075424671173;568.8983242511749;220.30676919221878;563.5952784121037;262.3971354961395;529.8830511569977;226.86376059055328;0.45;True;InterTrial
228;633.6374680995941;273.2705044746399;612.0619095042348;242.97509360313416;607.1119170188904;265.8915264606476;568.8080358505249;221.32850682735443;563.2313528060913;261.40192580223083;536.9207332134247;231.8407199382782;0.632;True;InterTrial
231;631.2013404369354;281.5073895454407;612.0997943803668;244.47931748628616;605.2939729690552;265.90908694267273;570.2717787027359;222.24035167694092;563.9611545689404;262.43291306495667;539.0506064295769;232.0527515411377;0.811;True;InterTrial
234;628.9971984624863;292.33155462145805;610.7804967164993;259.4269046783447;606.494371175766;267.72597351670265;596.405121743679;232.23806381225586;565.251936674118;263.114839553833;546.9080344438553;228.74395716190338;0.991;True;InterTrial
237;625.6144351959229;299.729971408844;613.0676988363266;255.51955127716064;605.142075419426;265.5287489891052;596.6823632121086;231.70488357543945;564.6973694562912;265.68277740478516;548.7650417685509;228.00759022403508;1.187;True;InterTrial
240;622.0121717453003;299.9138663485646;611.5430926084518;269.11588954925537;607.075122833252;271.0109190940857;595.3381404280663;231.58743906021118;564.7417541742325;261.73990881443024;548.7508928775787;225.30550622940063;1.367;True;InterTrial
243;621.8391027450562;311.1941165924072;618.7401359081268;281.2303910255432;604.9390676617622;295.7343680858612;595.4072639942169;232.07833003997803;564.8342860937119;261.62541937828064;551.8266072273254;228.10895377397537;1.547;True;InterTrial
246;621.2757667303085;322.3362431526184;622.9258682727814;275.6480260491371;602.3491153717041;296.9645891189575;598.4354577064514;233.64512944221497;565.1019871234894;262.8909795284271;559.9976124763489;230.5421359539032;1.728;True;InterTrial
249;629.3676310777664;318.2375829219818;622.3598990440369;277.43741500377655;601.8693053722382;298.3116647005081;609.2112789154053;248.22328567504883;565.9563013315201;263.5691213607788;565.7457109689713;230.7745006084442;1.907;True;InterTrial
252;631.2179691791534;327.1348249912262;622.9373226165771;279.19223856925964;601.1805810928345;296.2242443561554;609.5885446071625;249.72048425674438;567.4547057151794;265.27929759025574;567.6357922554016;235.306547164917;2.087;True;InterTrial
255;630.1177685260773;331.5993545949459;622.5795125961304;281.257803440094;602.3048537969589;296.4802813529968;610.5350477695465;249.87749600410461;577.3356328010559;292.5225212574005;567.6350657939911;242.1850858926773;2.266;True;InterTrial
258;621.0179889202118;336.1468107700348;622.6199917793274;306.483190536499;603.7206320166588;300.88065153360367;607.8236389160156;249.70086431503296;576.5707809925079;289.6018109321594;565.7514955997467;246.1431016921997;2.446;True;InterTrial
261;608.7225885391235;343.2214150428772;623.3480186462402;309.1804164648056;601.6004071235657;300.9866170287132;607.4389405250549;249.62776041030884;577.6948628425598;289.09124398231506;567.4834370613098;244.66488701105118;2.628;True;InterTrial
264;617.0790214538574;347.2227615118027;624.1315348148346;309.83465111255646;604.5961446166039;328.13044452667236;608.9427402019501;249.96237921714783;579.3911643028259;287.86032152175903;571.2144075036049;247.20330929756165;2.807;True;InterTrial
267;615.9281370639801;352.9999318122864;623.4831364154816;312.0254626274109;606.1701118946075;326.42879128456116;610.5564266443253;253.1289347410202;578.9535838365555;287.5786728858948;574.8174834251404;250.24641382694244;2.986;True;InterTrial
270;612.1234789714217;358.7884123325348;621.9490647315979;313.02364897727966;606.6293268203735;327.29004430770874;610.0766607522964;258.91122591495514;578.4616758823395;287.7222247123718;577.7618715763092;252.9549621939659;3.172;True;InterTrial
273;607.1166162490845;365.4909955263138;620.1379949897528;321.0999970436096;606.3451166152954;327.67441749572754;622.2095003128052;298.8727478981018;580.0326936356723;290.56703662872314;593.0054183006287;260.1935775279999;3.36;True;InterTrial
276;591.6904306411743;374.23542189598083;616.5576448440552;335.94647097587585;605.4491140842438;330.2084221839905;625.3606431484222;301.07515358924866;585.7250542640686;322.34956073760986;592.6715667247772;269.652220249176;3.54;True;InterTrial
279;584.1706247329712;375.126816034317;609.996255159378;343.99401688575745;594.5869879722595;345.33090353012085;625.0842106342316;301.1658824682236;584.6965665817261;322.1288170814514;590.1656110286713;270.931471824646;3.721;True;InterTrial
282;567.6626796722412;390.853396654129;592.6640923023224;367.9631857872009;584.1940670013428;355.19655776023865;623.5780048370361;302.4597735404968;583.8415815830231;324.02032786235213;590.4784078598022;276.44014024734497;3.899;True;InterTrial
285;549.2417116165161;408.55535912513733;588.9631308913231;382.0531003475189;557.052969455719;377.17135858535767;620.7218084931374;317.3011796474457;583.503536939621;326.6929531097412;604.1938407719135;302.1036055088043;4.08;True;InterTrial
288;537.963052034378;423.3449251651764;583.4766023159027;387.74945679306984;555.6725149154663;388.04111064225435;595.7903856039047;380.8029662966728;583.5368139743805;331.8381749391556;606.1075892448425;327.27010321617126;4.266;True;InterTrial
291;532.089325197041;422.659099817276;565.8075098991394;398.337571144104;555.3528190851212;388.83339351415634;595.7578818649054;379.2087636590004;552.1220436096191;363.7807093411684;592.5413093566895;332.7854632139206;4.47;True;InterTrial
294;530.2243875265121;414.8425040245056;563.0610739588737;396.1510062068701;553.0998003482819;389.42820250988007;595.7129732072353;379.4026871919632;551.6897151470184;365.42889988422394;588.8650766611099;331.5327905714512;4.651;True;InterTrial
297;524.8186551332474;408.433629989624;557.7748332023621;395.1613412499428;545.8043138980865;389.86005759239197;595.7324523031712;379.0783804655075;551.2879860401154;366.9489631652832;587.5042245686054;333.187686085701;4.831;True;InterTrial
300;522.6098754405975;406.1125991344452;552.3330781459808;394.31719303131104;545.2141361236572;392.94831371307373;595.7495568990707;379.0246499180794;550.8180780410767;366.3517963886261;586.3853143453598;334.0990352630615;5.011;True;InterTrial
303;523.3930749297142;406.79001450538635;550.5231981277466;394.0278078317642;541.2996212244034;391.0530345439911;594.6387380361557;379.62161895632744;550.9541957378387;366.3230357170105;586.310240149498;335.64365434646606;5.19;True;InterTrial
306;529.330729007721;408.3392958641052;554.5002380609512;396.5511848330498;545.0459971427917;394.68619990348816;595.0605893731117;379.1194806098938;550.5297677516937;365.8822499513626;585.2508389949799;335.7489333152771;5.377;True;InterTrial
309;534.5421760082245;405.3619238138199;551.4587624073029;398.2461233139038;546.7808117866516;396.4114361703396;595.2250507473946;380.201034411788;550.6037516593933;366.36257815361023;584.67276263237;337.60520029067993;5.564;True;InterTrial
312;533.8385809659958;402.03756034374237;551.6510982513428;397.9824732542038;546.8935984373093;397.1321040391922;594.6375516653061;380.370086401701;549.6137700080872;366.28577041625977;582.3838939666748;338.83707082271576;5.743;True;InterTrial
315;531.3846774101257;396.459124982357;548.4937292039394;396.29143038392067;543.9882836341858;393.46595525741577;594.1484236717224;380.25474575161934;550.0325167179108;366.3036599159241;581.2081035375595;339.488820374012;5.924;True;InterTrial
318;527.9393827915192;397.3295854330063;547.1600338816643;397.863862991333;541.0925906896591;394.33557963371277;592.848477602005;380.6007154583931;548.5535212159157;367.6100401878357;579.3872121572495;342.06004333496094;6.105;True;InterTrial
321;533.1385095119476;404.311949133873;547.9823589920998;398.20407009124756;540.9723000526428;396.1153400093317;593.2203180789948;380.6068626046181;550.1597924232483;366.5166664123535;580.092109195888;341.1116935014725;6.285;True;InterTrial
324;546.7830939292908;410.47286784648895;559.5213379859924;399.81333780288696;547.0275113582611;392.46101903915405;596.5132430791855;380.1801209151745;550.9930868148804;365.91107952594757;582.7810423374176;332.79652470350266;6.48;True;InterTrial
327;555.1151036024094;415.96048498153687;571.2252733707428;394.3563549518585;551.7916729450226;390.2063527107239;595.7573243230581;377.6403999328613;552.5262169837952;365.1096531152725;585.6639289855957;324.5111300945282;6.66;True;InterTrial
330;553.6920719146729;431.44866394996643;568.3618407249451;408.6363134384155;550.8301532268524;400.8037860393524;595.7376942336559;379.5248087346554;551.4487404823303;363.7701647281647;585.0466425418854;326.46179723739624;6.84;True;InterTrial
333;549.979252576828;448.03212881088257;565.1806335449219;432.0172381401062;549.5202877521515;401.86792826652527;594.6290802955627;379.0682526230812;550.4903948307037;365.9546209573746;584.7827768325806;337.5193815231323;7.019;True;InterTrial
336;568.64715051651;460.75307220220566;565.7791588306427;438.49051690101624;543.5732097625732;424.6698489189148;593.0200440883636;384.84263253211975;549.8033089637756;365.8409148454666;583.3864526748657;350.3937051296234;7.198;True;InterTrial
339;576.6992509365082;478.6065561771393;565.0452302694321;440.7837595939636;558.828113079071;455.9201364517212;586.5025460720062;392.1678328514099;546.9830121994019;368.43197870254517;572.2655227780342;366.27630400657654;7.377;True;InterTrial
342;582.4714035987854;501.71750569343567;588.6444138884544;481.7305746078491;558.280511379242;457.8940167427063;583.4344727993011;426.89656019210815;544.0173506736755;419.6765792667866;570.4542397260666;387.40417355298996;7.573;True;InterTrial
345;591.4830708503723;527.0381314754486;591.3379154205322;498.00207591056824;567.6581547260284;506.09947204589844;585.2475428581238;431.8324980735779;549.1538343429565;453.314502120018;561.4480314254761;408.6024203300476;7.752;True;InterTrial
348;598.090832233429;548.7815348505974;593.6135439872742;501.46753442287445;583.5908102989197;532.1184195280075;597.1134313344955;483.87921085208654;552.3871102333069;454.64795446395874;576.0654592514038;436.35895800590515;7.934;True;InterTrial
351;613.636887550354;574.5857400894165;616.070939540863;560.4215965270996;584.2533156871796;534.0831532478333;601.6268446445465;487.13546419143677;571.2092605829239;527.0775396823883;575.0047807693481;460.6235941648483;8.113;True;InterTrial
354;621.0502985715866;584.571474313736;616.7208318710327;563.0617817640305;601.8610320091248;573.7601857185364;615.5418858528137;516.8062989115715;573.6374225616455;531.1909427642822;579.9681644029915;488.55670833587646;8.293;True;InterTrial
357;621.9844946861267;583.9894595146179;616.2806205749512;564.9032788276672;604.362747579813;573.49387383461;618.3955303430557;537.6511101722717;574.5302066802979;528.1071345806122;592.2624430656433;497.42126870155334;8.478;True;InterTrial
360;622.8646821975708;581.8701006174088;617.5441689491272;564.2244527190924;605.0007863044739;573.8067263364792;618.3896597623825;536.8034391403198;574.8741669654846;528.6817054748535;592.558765411377;497.5554869174957;8.668;True;InterTrial
