scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,625.9646606445312,324.99273681640625,1.0,620.1453247070312,281.320556640625,0.9999337196350098,601.6693115234375,298.2298889160156,0.999998927116394,611.6674194335938,249.08453369140625,0.9999998807907104,564.2966918945312,260.6578674316406,1.0,562.8642578125,232.25225830078125,1.0
1,628.692138671875,321.5982360839844,1.0,622.7192993164062,277.2599182128906,0.9999970197677612,601.4254150390625,297.1568603515625,0.9999998807907104,612.9136352539062,250.34954833984375,0.9999998807907104,564.6921997070312,261.1315002441406,1.0,564.0756225585938,232.22421264648438,1.0
2,631.3092651367188,318.8642883300781,0.9999998807907104,623.493408203125,277.10919189453125,0.9999985694885254,600.862548828125,298.0068359375,0.9999990463256836,613.1551513671875,250.8971710205078,0.9999998807907104,564.480712890625,261.1786193847656,1.0,565.7423706054688,233.0427703857422,0.9999998807907104
3,631.4326782226562,322.3792419433594,1.0,623.6471557617188,277.044189453125,0.9999995231628418,601.1444091796875,297.681396484375,0.9999995231628418,613.3170166015625,250.86219787597656,0.9999998807907104,565.737548828125,262.5592956542969,1.0,566.2686157226562,234.7775115966797,1.0
4,633.4650268554688,324.7563171386719,0.9999998807907104,624.5220947265625,278.0395812988281,0.9999998807907104,601.0604248046875,296.8164367675781,0.9999991655349731,613.3988647460938,250.73533630371094,0.9999998807907104,565.9993286132812,263.3284912109375,0.9999998807907104,566.3637084960938,235.895263671875,0.9999998807907104
5,631.73291015625,327.5490417480469,1.0,624.768310546875,280.109619140625,0.9999996423721313,601.8378295898438,296.64825439453125,0.9999984502792358,612.3265380859375,250.0615692138672,0.9999998807907104,567.7380981445312,263.716552734375,0.9999998807907104,568.2144775390625,237.8972625732422,0.9999996423721313
6,632.3950805664062,329.90728759765625,0.9999998807907104,624.84326171875,280.853271484375,0.9999991655349731,602.1241455078125,296.8597717285156,0.9999982118606567,613.3090209960938,250.94947814941406,0.9999998807907104,567.9720458984375,265.1929016113281,0.9999994039535522,568.5546264648438,239.96531677246094,0.9999984502792358
7,633.45068359375,330.9171142578125,0.9999995231628418,625.597900390625,280.9760437011719,0.9999992847442627,602.640869140625,296.70208740234375,0.9999985694885254,614.0199584960938,251.94046020507812,0.9999998807907104,571.6865234375,272.63739013671875,0.9999959468841553,568.25634765625,242.26499938964844,0.9999998807907104
