;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Time;Experiment;Experiment
;snout;snout;right-forepaw;right-forepaw;left-forepaw;left-forepaw;right-hindpaw;right-hindpaw;left-hindpaw;left-hindpaw;tail-base;tail-base;;Status;Trial
;x;y;x;y;x;y;x;y;x;y;x;y;;;
Frame;;;;;;;;;;;;;;;
145;579.725541383028;191.73662424087524;546.9035676717758;170.55018198490143;527.4538469314575;187.46354776620865;500.5916311740875;152.9578139781952;474.8799270391464;190.60270071029663;459.81472493708134;165.29647088050842;0.076;False;
210;572.5161130428314;266.29433262348175;551.0642907619476;215.6920952796936;536.8692758083344;244.68358194828033;543.8063797950745;196.92852407693863;494.58568143844604;194.1124973297119;502.2877905368805;181.1822987794876;0.212;False;
213;590.0500826835632;265.4869022369385;579.7344415187836;244.11111756414175;536.4644556045532;244.0872475206852;542.2878792285919;195.29036569595337;520.4371199607849;232.50577926635742;506.0079892873764;189.1588101387024;0.348;False;
216;606.0887403488159;256.1378102302551;582.9961984157562;244.33441931009293;580.6935367584229;260.91433972120285;544.024774312973;197.57551896572113;519.703507900238;233.46483635902405;509.59552347660065;202.6577309370041;0.483;False;
219;616.1843950748444;255.3080906867981;584.3405804634094;245.63042628765106;579.6839116811752;258.9841686487198;566.6269464492798;217.28869581222534;519.0493607521057;232.28155398368835;519.0280103683472;207.42766547203064;0.618;False;
222;626.6370666027069;256.5037877559662;609.8780097961426;243.94426384940743;580.8888428807259;257.41936922073364;567.3165946006775;219.4037122130394;533.8705326318741;243.8115215152502;523.1804634332657;212.918621301651;0.755;False;
225;631.8560421466827;262.9720845222473;615.6273488998413;244.15154039859772;583.028636932373;257.90776443481445;568.898402929306;220.30755785107613;563.5952180624008;262.3971529006958;529.8837738037109;226.8635309934616;0.886;False;
228;633.637622833252;273.27036356925964;612.0615652911365;242.97453665733337;607.1130180358887;265.89212584495544;568.8077397346497;221.32828676700592;563.2312418818474;261.40204083919525;536.9210205078125;231.84096598625183;1.016;False;
231;631.2012031078339;281.50751090049744;612.099924184382;244.4789414703846;605.2936519384384;265.9086227416992;570.271626830101;222.24018788337708;563.9611473567784;262.4326186180115;539.051190495491;232.05294132232666;1.145;False;
234;628.9970205426216;292.3317336142063;;;606.4944460391998;267.7261620759964;596.4049360156059;232.2385835647583;565.2515503168106;263.114803314209;546.9084657430649;228.7436945438385;1.274;False;
237;625.6148188114166;299.73020830750465;613.0675760507584;255.5191650390625;605.1420266628265;265.5287024974823;596.681991815567;231.70447731018066;564.6972037553787;265.68245220184326;548.765399992466;228.0073964749463;1.414;False;
240;622.0123777389526;299.9138342887163;611.5432920157909;269.1153167486191;;;595.337935090065;231.58731269836426;564.7416214942932;261.7400757074356;548.75112169981;225.30546808242798;1.543;False;
243;621.8394021987915;311.19381856918335;;;604.9393834471703;295.73422169685364;595.4075926542282;232.0785264968872;564.8338726758957;261.62534284591675;551.8271639347076;228.1085395887494;1.674;False;
246;621.2757892608643;322.3359397649765;622.9247334003448;275.64751130342484;602.3491721153259;296.9637851715088;598.4356446266174;233.64606881141663;565.102194070816;262.8908848762512;559.998251914978;230.54184198379517;1.82;True;InterTrial
249;629.3674879074097;318.2371745109558;;;601.8700475692749;298.31191527843475;609.2112693786621;248.22331619262695;565.9563746452332;263.56924295425415;565.7460283041;230.77460050582886;1.971;True;InterTrial
252;631.2180552482605;327.135178565979;622.936751127243;279.19229769706726;601.1812636852264;296.22414898872375;609.5882747173309;249.72064232826233;567.4547877311707;265.27958393096924;567.6360669136047;235.30652958154678;2.152;True;InterTrial
255;630.117912530899;331.5994842350483;622.5785450935364;281.25787472724915;602.3056797981262;296.4793725013733;610.534627199173;249.877756357193;577.3351495265961;292.5224562883377;567.6350905895233;242.18497359752655;2.33;True;InterTrial
258;621.0180057287216;336.14678859710693;622.6198101043701;306.4828029870987;603.7202230393887;300.88003903627396;607.8236699104309;249.70078587532043;576.5708603858948;289.60225224494934;565.7518677711487;246.1429762840271;2.496;True;InterTrial
261;608.7229316234589;343.2216589450836;623.3472476005554;309.1806082725525;601.6018650531769;300.98682421445847;607.4388289451599;249.6277153491974;577.6948845386505;289.0914993286133;567.4836201667786;244.66509586572647;2.676;True;InterTrial
264;617.0788516998291;347.22271168231964;624.1306002140045;309.83469688892365;604.5964778661728;328.13035345077515;608.9430406093597;249.96261858940125;579.3911702632904;287.8601894378662;571.2149587273598;247.20308923721313;2.856;True;InterTrial
267;615.9277729988098;352.99990487098694;623.4830470085144;312.0247344970703;606.1706321239471;326.42893052101135;610.5565609931946;253.129438996315;578.9537315368652;287.57904148101807;574.818172454834;250.24662292003632;3.035;True;InterTrial
270;612.1234207451344;358.78824496269226;621.9479584693909;313.02398228645325;606.6296744346619;327.28977823257446;610.076154589653;258.9112402200699;578.4617649316788;287.7224164009094;577.7623436450958;252.9549921154976;3.215;True;InterTrial
273;607.1165347099304;365.4919353723526;620.1375370025635;321.09874415397644;606.3453638553619;327.67441749572754;622.210186958313;298.87307929992676;580.032887250185;290.56769013404846;593.0057790279388;260.19324737787247;3.394;True;InterTrial
276;591.6904826164246;374.2351062297821;616.5575928688049;335.9458839893341;605.4497717618942;330.2084102630615;625.3613200187683;301.07522201538086;585.724632024765;322.34957206249237;592.6716122627258;269.6522870063782;3.573;True;InterTrial
279;584.170734167099;375.1275625228882;609.9956867694855;343.9939036369324;594.5869317054749;345.33090591430664;625.0841639041901;301.16643846035004;584.6963963508606;322.12908923625946;590.1656308174133;270.9317784309387;3.738;True;InterTrial
282;567.6626858711243;390.8532919883728;592.6636574268341;367.9627151489258;584.1940469741821;355.196152985096;623.5784802436829;302.4602665901184;583.8415682315826;324.02051883004606;590.4789023399353;276.4400715827942;3.919;True;InterTrial
285;549.2420638799667;408.55540800094604;588.9635598063469;382.0539770126343;557.0530104637146;377.17065048217773;620.7225611209869;317.3015674352646;583.5035333633423;326.6929738521576;604.1944586336613;302.1035706996918;4.067;True;InterTrial
288;537.9635396003723;423.34448432922363;583.4766445159912;387.7495712339878;555.6726050078869;388.0413273759186;595.7904941886663;380.80370247364044;583.5366547107697;331.8383619040251;606.107860326767;327.2696225643158;4.247;True;InterTrial
291;532.0893649533391;422.65951204299927;565.8082962036133;398.33822679519653;555.3539237380028;388.83412784338;595.7579071968794;379.20905089378357;552.1220750808716;363.780895575881;592.5413987636566;332.78539979457855;4.426;True;InterTrial
294;530.2249680757523;414.8434636592865;563.0608986020088;396.1510396897793;553.1004405021667;389.42778074741364;595.7131190299988;379.4032213687897;551.6897914409637;365.4292393922806;588.8654711842537;331.5325625836849;4.607;True;InterTrial
297;524.8191252946854;408.43375730514526;557.7747168540955;395.161661028862;545.8047335147858;389.8596136569977;595.7329353690147;379.07913488149643;551.2878084182739;366.9489891529083;587.5045522451401;333.18813610076904;4.787;True;InterTrial
300;522.610413312912;406.1127824783325;;;545.2143602371216;392.9480650424957;595.7497992515564;379.0248780846596;550.8179748058319;366.3521740436554;586.3856346607208;334.09865617752075;4.968;True;InterTrial
303;523.393413901329;406.7904453277588;;;541.3002103567123;391.05310130119324;594.6390542984009;379.6221250295639;550.9541211128235;366.3233497142792;586.3102395534515;335.6435589790344;5.147;True;InterTrial
306;529.3314688205719;408.3399112224579;;;545.0460751056671;394.68594324588776;595.0603361725807;379.1199266910553;550.5295479297638;365.88277423381805;585.2511441707611;335.74872636795044;5.327;True;InterTrial
309;534.542373418808;405.36257445812225;;;546.7812739610672;396.4112613797188;595.2259061932564;380.2011799067259;550.6036458015442;366.36259865760803;584.6732442378998;337.6048672199249;5.506;True;InterTrial
312;533.8390446901321;402.0373069047928;;;546.894349694252;397.1320261955261;594.6379580497742;380.37043088674545;549.6136226654053;366.2860496044159;582.3843097686768;338.83711183071136;5.692;True;InterTrial
315;531.3850556015968;396.4593777358532;;;;;594.1483601331711;380.254920065403;550.0324125289917;366.30368638038635;581.2081543207169;339.4886844754219;5.85;True;InterTrial
318;527.9396467208862;397.3300734758377;;;541.0924941301346;394.3353235721588;592.8491513729095;380.6010543704033;548.5536277294159;367.6098623275757;579.3872966766357;342.05988574028015;6.032;True;InterTrial
321;533.1383746862411;404.3114837408066;;;540.9729042053223;396.11490857601166;593.2205295562744;380.6069792509079;550.1592943668365;366.51642894744873;580.092188604176;341.1113511323929;6.212;True;InterTrial
324;546.7836263179779;410.4729484319687;;;547.0279935598373;392.4612832069397;596.5134484171867;380.18092355132103;550.9932825565338;365.91112554073334;582.781284570694;332.79650062322617;6.393;True;InterTrial
327;555.1150848269463;415.9609146118164;571.2245754003525;394.3561466932297;551.7920200824738;390.20617175102234;595.7575951963663;377.64049530029297;552.5264182090759;365.10996651649475;585.6644184589386;324.511277616024;6.574;True;InterTrial
330;553.6926584243774;431.4486553668976;568.3612661361694;408.63613843917847;550.8297786712646;400.8036677837372;595.737913697958;379.52484145760536;551.4484171867371;363.77003921568394;585.0466728210449;326.46177196502686;6.757;True;InterTrial
333;549.9795385599136;448.0321271419525;565.1800450086594;432.01731038093567;549.5203086137772;401.8672935962677;594.6297641992569;379.068934738636;550.4907684326172;365.95537197589874;584.783056974411;337.5192461013794;6.934;True;InterTrial
336;568.6471872329712;460.75354158878326;565.7783070802689;438.4903566837311;543.5741443634033;424.6699028015137;593.0202424526215;384.8429591655731;549.803379535675;365.84097278118134;583.3870153427124;350.3934190273285;7.115;True;InterTrial
339;576.6994206905365;478.60660886764526;565.0446219444275;440.78353357315063;558.8279159069061;455.9196124076843;586.5030997991562;392.1680221557617;546.9830913543701;368.43176341056824;572.2662198841572;366.275762796402;7.293;True;InterTrial
342;582.4718105792999;501.7177823781967;588.6442001461983;481.7304220199585;558.2814280986786;457.893958568573;583.4347314834595;426.8972086906433;544.0169219970703;419.6764986515045;570.4545999765396;387.4041246175766;7.473;True;InterTrial
345;591.4835243225098;527.0382781028748;591.337329864502;498.002157330513;567.658225774765;506.0994347333908;585.2479405403137;431.8328957557678;549.1535724401474;453.3149198293686;561.4482440948486;408.6020197868347;7.653;True;InterTrial
348;598.0908074378967;548.7814058065414;593.6133551597595;501.4673161506653;583.590749502182;532.1187887191772;597.1135718822479;483.87938333302736;552.3872618675232;454.6479308605194;576.0657866001129;436.3587164282799;7.834;True;InterTrial
351;613.6370368003845;574.585616350174;616.0705227851868;560.4206075668335;584.2536869049072;534.0821185112;601.627771615982;487.13572001457214;571.2084695696831;527.077709197998;575.0052638053894;460.6233702301979;8.014;True;InterTrial
354;621.0501539707184;584.5717082023621;616.720094203949;563.0613166093826;601.8608560562134;573.7599936723709;615.5419244766235;516.8066811561584;573.6372609138489;531.1907173395157;579.9686355926096;488.55627489089966;8.194;True;InterTrial
357;621.9842404127121;583.9892220497131;616.2804622650146;564.9030861854553;604.3628144562244;573.4942532777786;618.396268248558;537.6514315605164;574.5300192832947;528.1070392131805;592.2623879909515;497.42078828811646;8.374;True;InterTrial
