;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Time;Experiment;Experiment
;snout;snout;right-forepaw;right-forepaw;left-forepaw;left-forepaw;right-hindpaw;right-hindpaw;left-hindpaw;left-hindpaw;tail-base;tail-base;;Status;Trial
;x;y;x;y;x;y;x;y;x;y;x;y;;;
Frame;;;;;;;;;;;;;;;
348;695.5102446079254;359.3329818248749;685.7547745704651;395.7222282886505;711.6654832363129;397.7426404953003;675.6624920070171;472.7655827999115;714.7596685886383;462.24778151512146;690.0388560295105;476.87646210193634;0.067;False;
351;701.287572145462;325.5670347213745;688.7940080165863;394.51303017139435;714.1679921150208;362.47422540187836;677.6834001541138;412.05128951743245;710.2986843585968;456.45262241363525;681.324827671051;451.8641405701637;0.161;False;
354;701.966070652008;289.420786857605;691.2449791431427;312.3706021308899;715.1699017286301;361.31622314453125;677.4915360212326;410.0434422492981;709.5846644639969;395.63480845093727;682.9729851484299;422.1039354801178;0.272;False;
357;696.8186864852905;255.79714035987854;691.7444433271885;311.8769121170044;717.0589580535889;292.6231268644333;670.855610370636;366.82061314582825;711.7905712127686;370.3922839164734;686.7772421836853;387.4348153471947;0.369;False;
360;689.6749033927917;214.64879274368286;686.6796774864197;257.8839998245239;714.6927242279053;261.97448539733887;681.3469505310059;316.10572900623083;709.7398775815964;355.97794133611023;683.213309943676;352.53069710731506;0.466;False;
363;691.4958403706551;185.70281171798706;687.7677235603333;216.0877776145935;711.6303386688232;251.16795736551285;679.9662773609161;313.95092248916626;714.1510879993439;281.5618770122528;693.26857817173;317.36190044879913;0.557;False;
366;679.8784658908844;167.96236491203308;690.2275319099426;216.3681378364563;710.6552286148071;191.16165351867676;672.3555886745453;242.42157745361328;713.1184911727905;278.23068380355835;686.1406846046448;286.2823238372803;0.672;False;
369;673.8661539554596;165.06113505363464;681.5493469238281;186.2383495569229;710.4353170394897;192.54048418998718;677.3642035722733;230.91485381126404;712.23357462883;270.9505753517151;689.1867105960846;271.47805738449097;0.765;False;
372;654.0608022212982;169.91383719444275;671.2671294212341;184.48061752319336;710.6348185539246;190.80692529678345;677.1881824731827;230.19197630882263;713.7393095493317;234.06513214111328;697.053124666214;261.1734969615936;0.866;False;
375;648.9618253707886;180.23113718628883;671.5695366859436;187.3445543050766;690.2290830612183;174.26108837127686;677.0279948711395;230.70229935646057;713.8329615592957;202.62093877792358;707.5932804942131;252.67871069908142;0.977;False;
378;635.791680842638;171.41287463903427;671.0332102775574;184.00513458251953;674.5710386037827;165.2490770816803;678.9781184196472;221.2415817975998;713.143256187439;202.5054943561554;708.1161089837551;228.18980456888676;1.072;False;
381;628.8382944464684;177.51760125160217;671.8511965274811;183.510516166687;674.0175676345825;165.99633526802063;686.972011089325;203.8491944372654;714.3273057937622;201.69616961479187;714.1626049280167;190.8016176223755;1.17;False;
384;628.5240553021431;181.26762807369232;668.7310846447945;184.33734464645386;674.4830881357193;164.97226351499557;687.8779828548431;204.458664894104;697.7892858982086;160.13727521896362;714.4678251743317;197.3114823102951;1.265;False;
387;641.2725462913513;203.60134848952293;671.7255103588104;183.93962907791138;673.3264946937561;164.31399375200272;686.8225748538971;204.26249864697456;697.9233376979828;159.82586288452148;714.3769315481186;196.85569542646408;1.373;False;
390;630.7994647026062;205.936847448349;662.2050876617432;195.8044649362564;650.122358083725;176.22639918327332;686.0386455059052;205.18983495235443;697.9944324493408;160.26202297210693;714.5235273838043;194.7336276769638;1.472;False;
393;623.3183555603027;201.91243243217468;649.937249660492;201.91847324371338;649.5070559978485;177.7674822807312;687.3699827194214;206.19506239891052;696.8412992954254;159.70116090774536;714.1283994913101;193.17336082458496;1.566;False;
396;621.4681599140167;201.35790872573853;647.826250076294;200.2871584892273;650.5254535675049;177.85240149497986;687.7645716667175;206.11081314086914;697.3098196983337;160.16999650001526;713.726610660553;192.06468272209167;1.677;False;
399;620.6567524075508;202.10883903503418;648.7508447170258;200.61396884918213;650.5651297569275;177.98383855819702;687.8386945724487;205.98311173915863;697.2168016433716;160.0509786605835;713.8235428333282;192.43395137786865;1.777;False;
402;620.1503300368786;199.53247237205505;646.0394809246063;200.44851922988892;650.4069027900696;178.07338893413544;687.0725948810577;206.20761156082153;697.4360356330872;160.08327341079712;713.3621091842651;192.69977617263794;1.874;False;
405;617.1044962406158;197.73646366596222;650.0660645961761;199.58516454696655;650.7307291030884;177.19205355644226;686.3222637176514;205.98753237724304;697.0195171833038;159.43087530136108;712.5327832698822;192.73315238952637;1.968;False;
408;611.1811627149582;195.11592596769333;651.2140022516251;199.35533237457275;649.8884139060974;175.95021963119507;685.1825177669525;205.0133993625641;697.2604718208313;160.41439056396484;710.7129988670349;191.99461603164673;2.077;False;
411;610.060986161232;192.1159749031067;650.1511874198914;198.95131993293762;649.9954090118408;176.13896226882935;684.8687893748283;205.25877690315247;697.0745537281036;159.89317417144775;710.2562348842621;193.06308364868164;2.177;False;
414;608.9053778648376;195.14700174331665;650.4210062026978;198.94698405265808;649.8025593757629;176.00443315505981;685.7861677408218;205.2740136384964;697.6164050102234;160.4543101787567;710.432254076004;192.01447939872742;2.273;False;
417;610.9836313724518;195.94158723950386;649.8803749084473;199.26391339302063;649.2563154697418;176.2056713104248;685.7721030712128;205.42062175273895;697.0456008911133;160.34054136276245;710.7143094539642;192.02722215652466;2.381;False;
420;610.9019740819931;196.74747252464294;650.0029077529907;198.84422636032104;650.0026268959045;175.36152410507202;685.7643338441849;205.1963175535202;696.825165271759;159.89336156845093;710.343870639801;191.46562147140503;2.481;False;
423;611.4791612625122;198.22640776634216;649.711971282959;199.1593325138092;649.6424207687378;175.79889297485352;685.7224063873291;205.2519509792328;696.6879966259003;159.95794343948364;710.466329574585;191.67174673080444;2.578;False;
426;612.215989112854;199.05232954025269;650.0318450927734;198.88445687294006;648.991886138916;176.0701687335968;685.5631742477417;205.2311406135559;697.1010360717773;160.33208012580872;710.8680500984192;191.43802070617676;2.673;False;
429;621.409964799881;211.95585810765624;649.3716959953308;200.95943593978882;650.0541368722916;176.6047761440277;684.9652135372162;204.01777829229832;696.0362644195557;160.1496798992157;708.8321458697319;192.19020462036133;2.767;False;
431;620.2835585474968;219.57291689515114;646.7338182926178;209.3486499786377;649.6096889972687;178.60427153110504;685.801485657692;204.65414184331894;687.9909353256226;161.93735003471375;704.9527113437653;187.2577702999115;2.882;False;
435;625.3152599334717;223.26325464248657;641.5696218013763;217.58846282958984;648.1696600914001;177.8089246749878;684.3044504225254;202.92482912540436;661.5566232204437;160.60137796401978;700.6584891676903;176.10545587539673;2.978;False;
438;623.1834893226624;227.36416798830032;642.5468654632568;217.5198245048523;642.3707093000412;180.68307846784592;683.8673511296511;202.9086502790451;661.9689928293228;160.33618021011353;700.536380469799;177.1515829563141;3.09;False;
440;617.3514447212219;230.1333930492401;644.5913143157959;216.57335948944092;629.6784378290176;191.20352411270142;684.3240295946598;203.3821201324463;660.0821015462279;158.87491655349731;699.7425090968609;176.44661569595337;3.153;False;
444;605.5269422531128;232.0343747138977;643.8515469133854;215.87637042999268;622.0627460479736;191.68154621124268;682.3834635019302;203.9373696744442;660.7745738625526;159.15877199172974;696.5420873165131;180.72073191404343;3.281;False;
447;598.712338924408;234.04200446605682;643.227726817131;215.1424376964569;621.5561362504959;192.06675457954407;670.264018535614;215.08783888816833;659.9604240804911;159.53973054885864;695.1846735477448;183.88102388381958;3.372;False;
450;593.7894690036774;233.40577745437622;642.9831606149673;214.51460003852844;620.2459844350815;192.6428928375244;668.6227140426636;214.8702654838562;659.4218096733093;159.5665044784546;690.6284915208817;187.26067727804184;3.471;False;
452;590.6011168956757;233.4250864982605;642.9513605833054;214.51071739196777;618.3615707159042;193.83213639259338;668.585988342762;215.06485795974731;660.0195683799684;159.29013013839722;690.124151468277;188.1244378760457;3.554;False;
456;589.5988907814026;205.5132039785385;626.016415476799;216.47498869895935;621.200399518013;192.62857460975647;668.4067930281162;214.3125569820404;660.1205862760544;159.82366824150085;689.0355343818665;188.59086906909943;3.679;False;
459;582.2920114994049;169.51299405097961;612.0121572455391;187.28978496789932;619.2601073980331;167.81881737709045;668.8256379961967;213.39112865924835;660.9351065158844;160.41429471969604;686.1440582275391;188.55675894021988;3.79;False;
461;575.8726274967194;161.73923015594482;613.0989058017731;187.89232467859983;616.6816940307617;160.90202450752258;667.7818872928619;213.56286084651947;661.6675738096237;159.9220733642578;682.2362153530121;188.58248579502106;3.858;False;
465;568.4886455535889;159.91577243804932;612.4746358394623;187.40334463119507;609.137998342514;158.67655444145203;653.6062608957291;209.99637866020203;657.9801471233368;159.73210072517395;674.0775737762451;188.14970314502716;3.95;False;
468;566.1620318889618;163.8246945887804;615.2429165840149;187.19458097219467;610.6351140737534;158.50491952896118;625.4381227493286;199.99262499809265;657.4836218357086;159.3146414756775;669.2873715162277;189.42847001552582;4.079;False;
471;566.8067247867584;168.96529746055603;591.7315201759338;174.86283016204834;612.2133167535067;157.97058725357056;623.427366733551;201.17966604232788;638.544501543045;156.49808356165886;667.5978348851204;188.44611039757729;4.171;False;
473;565.4834190607071;169.34559059143066;591.4363160133362;174.8618938922882;611.8954013586044;157.6932156085968;623.5465276241302;200.64735651016235;639.3981642723083;155.89662365615368;666.2210954427719;188.39885371923447;4.257;False;
477;553.5091738700867;171.9048231691122;580.4145927727222;180.16680093109608;610.057244181633;157.45066738128662;623.5270781517029;200.73220252990723;625.9245564937592;157.29752922058105;655.1192400455475;182.22934675216675;4.354;False;
480;549.0483430624008;180.59421056509018;580.2993386089802;181.54353272914886;609.1644477844238;157.97031688690186;622.5234942436218;200.98687887191772;620.3339677155018;156.74464225769043;650.0204297304153;182.0258274078369;4.494;False;
482;540.4510541260242;188.7843952178955;583.6096241474152;180.92006331682205;566.2038180828094;167.03461503982544;622.6658389568329;200.58523178100586;615.2765891551971;156.09117300063372;646.3510684967041;176.8325777053833;4.562;False;
486;530.6558237075806;189.46756744384766;577.7064371109009;183.71759796142578;564.4819893836975;168.0538592338562;621.1688965559006;200.1783480644226;614.4043478965759;156.46891915798187;641.2473666667938;177.77508115768433;4.657;False;
489;518.7080931663513;181.80832767486572;551.8406171798706;185.96398973464966;566.4691934585571;165.4042581319809;618.6407737731934;199.047465801239;614.0150990486145;156.56957054138184;635.0327413678169;178.76894199848175;4.753;False;
492;501.3319754600525;183.61760663986206;531.7002728581429;186.0115008354187;562.6734483242035;166.26666450500488;616.1171054840088;197.1724817752838;596.246060937643;159.38005352020264;622.858815908432;180.23483909666538;4.874;False;
494;486.2435824871063;179.23174208402634;527.9354004859924;183.38722109794617;555.7463882267475;164.32677793502808;611.2690644860268;195.99175221286714;578.4309363365173;159.02847743034363;609.9561746120453;177.7229676246643;4.959;False;
